home_win_count,away_win_count,h2h_home_win_count,h2h_away_win_count,home_mean_goals_scored,home_mean_goals_conceded,home_std_goals_scored,home_std_goals_conceded,away_mean_goals_scored,away_mean_goals_conceded,away_std_goals_scored,away_std_goals_conceded,h2h_home_mean_goals,h2h_away_mean_goals,h2h_home_std_goals,h2h_team_std_goals,home_rank - away_rank,home_rank_change,away_rank_change,home_team_opposition_rank_diff,away_team_opposition_rank_diff,is_friendly,is_qualifier,is_tournament,home_match_for_home_team,home_team_win,draw,away_team_win
4.0,5.0,3.0,5.0,3.4,1.5,2.8705400188814645,1.02469507659596,2.7,1.4,1.676305461424021,1.0198039027185568,1.7,2.0,1.5524174696260022,1.2649110640673518,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
5.0,5.0,1.0,2.0,3.1,1.1,1.7578395831246945,1.2206555615733703,4.0,0.5,3.82099463490856,0.5,0.8333333333333334,0.8333333333333334,0.8975274678557507,1.0671873729054748,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
4.0,5.0,1.0,2.0,2.9,1.1,1.8681541692269406,1.2206555615733703,3.6,0.6,3.9038442591886273,0.48989794855663565,0.8571428571428571,0.8571428571428571,0.8329931278350428,0.989743318610787,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
6.0,5.0,0.0,0.0,2.1,1.5,1.0440306508910548,0.806225774829855,3.6,1.4,2.690724809414742,1.019803902718557,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0
5.0,4.0,1.0,8.0,2.7,0.9,1.9519221295943137,1.2206555615733705,3.1,1.7,1.445683229480096,0.7810249675906654,0.9230769230769231,2.3076923076923075,0.9970370305242863,1.4876215081395165,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
5.0,5.0,5.0,2.0,2.8,1.5,1.7204650534085253,0.6708203932499369,3.6,1.4,2.6907248094147422,1.019803902718557,3.125,1.75,1.6909686573085854,1.299038105676658,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0
6.0,6.0,3.0,3.0,2.5,0.9,2.0124611797498106,1.2206555615733705,2.4,1.4,0.8,0.8,1.9,2.0,0.9433981132056604,1.2649110640673518,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0
6.0,2.0,12.0,1.0,2.5,2.3,2.0615528128088303,1.7349351572897473,1.2,3.6,0.7483314773547883,2.2891046284519194,4.2,2.1333333333333333,1.9043809142780932,1.586050300449376,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
6.0,4.0,10.0,0.0,2.2,2.2,1.5362291495737217,1.8330302779823362,1.4,2.2,0.9165151389911681,1.2489995996796797,3.5454545454545454,1.0,2.01646118298353,0.6030226891555273,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
3.0,5.0,1.0,4.0,1.0,3.8,0.7745966692414834,2.2271057451320084,2.6,1.4,2.1071307505705477,1.4966629547095767,1.5,3.8333333333333335,1.2583057392117916,1.5723301886761007,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3.0,3.0,9.0,3.0,2.3,2.1,1.4177446878757827,0.9433981132056604,1.6,2.0,0.48989794855663565,1.1832159566199232,2.7333333333333334,1.5333333333333334,1.948218559493661,0.7180219742846006,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
3.0,6.0,5.0,4.0,0.8,3.8,0.7483314773547883,2.2271057451320084,1.6,2.7,0.9165151389911681,1.9,1.6666666666666667,1.4666666666666666,1.0749676997731399,0.9568466729604884,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
4.0,5.0,1.0,0.0,2.8,1.2,1.9390719429665317,1.5362291495737217,1.7,2.2,0.7810249675906654,1.8867962264113207,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
4.0,4.0,3.0,9.0,1.6,2.2,0.48989794855663565,1.32664991614216,2.6,2.2,1.42828568570857,0.8717797887081347,1.5333333333333334,2.6666666666666665,0.7180219742846006,1.885618083164127,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
3.0,4.0,0.0,0.0,2.3,2.2,0.9,1.5362291495737217,2.8,1.4,1.4000000000000001,0.9165151389911681,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
2.0,4.0,0.0,0.0,1.8,3.0,1.32664991614216,1.5491933384829668,2.3,1.8,1.6155494421403511,1.6000000000000003,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
5.0,5.0,4.0,4.0,2.2,2.8,0.8717797887081347,2.4413111231467406,2.6,2.0,2.4979991993593593,1.4142135623730951,2.875,3.125,1.5360257159305635,2.521780125229002,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0
5.0,8.0,0.0,0.0,3.0,2.8,1.2649110640673518,1.32664991614216,2.5,2.3,1.746424919657298,2.193171219946131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0
